store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Peak Restaurant & Bar,"Modern American fare in a chic venue, Sleek restaurant & cocktail lounge featuring contemporary American cuisine & panoramic city views.","30 Hudson Yards 101st floor, New York, NY 10001, United States",peaknyc.com,631 reviews,4.5,"American restaurant, Bar & grill, Event venue",Manhattan,+1 332-204-8547,
Pastai Restaurant,"Quaint Italian eatery known for pasta, This petite Italian restaurant showcasing creative pasta dishes also offers beer, wine & cocktails.","186 9th Ave, New York, NY 10011, United States",pastainyc.com,386 reviews,4.3,"Italian restaurant, Cocktail bar, Gluten-free restaurant, Meal delivery, Pasta shop, Seafood restaurant, Sicilian restaurant, Southern Italian restaurant, Vegan restaurant, Wine bar",Manhattan,+1 646-688-3463,Moderately expensive
The View Restaurant & Lounge,"Revolving eatery with Times Square views, Revolving American bar & grill on the 48th floor of the Marriott Marquis with Times Square views.","1535 Broadway, New York, NY 10036, United States",marriott.com,"3,039 reviews",4.2,"American restaurant, Bar, Lounge",Manhattan,+1 212-704-8900,Very expensive
Dirt Candy,"Modern spot for creative vegetarian fare, Inventive vegetarian dishes & classic cocktails presented in stylish, airy surrounds.","86 Allen St, New York, NY 10002, United States",dirtcandynyc.com,953 reviews,4.6,Vegetarian restaurant,Manhattan,+1 212-228-7732,Moderately expensive
Bâtard,"Refined destination for European cuisine, Modern European plates pair with an extensive wine list & cocktails in an elegant, open interior.","239 W Broadway, New York, NY 10013, United States",batardtribeca.com,616 reviews,4.5,"French restaurant, Modern European restaurant",Manhattan,,Very expensive
Shuka,"Mediterranean food, wine & cocktails, Place for contemporary Eastern Mediterranean food, wine & cocktails in a stylish setting.","38 MacDougal St, New York, NY 10012, United States",shukanewyork.com,"1,604 reviews",4.5,"Mediterranean restaurant, Brunch restaurant, Lunch restaurant, Restaurant",Manhattan,+1 212-475-7500,Moderately expensive
Rezdôra,"Intimate venue for rustic Italian fare, Italian eatery highlighting handmade pasta, traditional meat & fish dishes plus local vegetables.","27 E 20th St, New York, NY 10003, United States",rezdora.nyc,616 reviews,4.3,Northern Italian restaurant,Manhattan,+1 646-692-9090,
Serafina Broadway,"Modern Italian bistro in Dream Hotel, Pizza & traditional pastas plus brunch at an outpost of a local Italian chain in the Dream Hotel.","210 W 55th St, New York, NY 10019, United States",serafinarestaurant.com,"1,289 reviews",4,"Italian restaurant, Pizza restaurant",Manhattan,+1 212-315-1700,Moderately expensive
Masseria dei Vini,"Italian dining with Pugliese specialties, Restaurant offering dishes from Puglia, including seafood crudo & pastas, plus Italian wines.","887 9th Ave, New York, NY 10019, United States",masseriadeivini.com,717 reviews,4.6,"Italian restaurant, Wine bar",Manhattan,+1 212-315-2888,Expensive
Shuko,"Omakase-only Japanese dining, Compact, omakase-only Japanese choice for upscale sushi or more elaborate kaiseki meals.","47 E 12th St, New York, NY 10003, United States",shukonyc.com,309 reviews,4.4,Japanese restaurant,Manhattan,+1 212-228-6088,Very expensive
SOUTHGATE Bar & Restaurant,"American dining with a Central Park view, Locally sourced, upmarket American dishes served in a shiny, modern room with Central Park views.","154 Central Park S, New York, NY 10019, United States",marriott.com,212 reviews,4.2,"American restaurant, Brunch restaurant, Cocktail bar, New American restaurant, Restaurant",Manhattan,+1 212-484-5120,Expensive
Cookshop,"Farm-to-hipster American dining, Energetic, greenmarket-driven hot spot by the High Line serving American fare plus a popular brunch.","156 10th Ave, New York, NY 10011, United States",cookshopny.com,"2,284 reviews",4.5,"American restaurant, Restaurant",Manhattan,+1 212-924-4440,Expensive
